School Board,Number of Active Cases
Conseil scolaire Viamonde,20
Conseil scolaire de district catholique de l'Est ontarien,20
Conseil scolaire de district catholique du Centre-Est de l'Ontario,22
Dufferin-Peel Catholic District School Board,115
Durham District School Board,66
Halton Catholic District School Board,27
Halton District School Board,42
Hamilton-Wentworth Catholic District School Board,29
Hamilton-Wentworth District School Board,46
Ottawa-Carleton District School Board,41
Peel District School Board,187
Simcoe County District School Board,37
Thames Valley District School Board,44
Toronto Catholic District School Board,160
Toronto District School Board,397
Upper Grand District School Board,22
Waterloo Region District School Board,46
Windsor-Essex Catholic District School Board,21
York Catholic District School Board,30
York Region District School Board,122
