FILE_DATE,PHU_NAME,PHU_NUM,ACTIVE_CASES,RESOLVED_CASES,DEATHS,ARCHIVED_RESOLVED_CASES,ARCHIVED_DEATHS
2020-04-01,ALGOMA DISTRICT,2226,4,1,0,1,0
2020-04-01,BRANT COUNTY,2227,10,5,0,5,0
2020-04-01,CHATHAM-KENT,2240,6,2,0,2,0
2020-04-01,CITY OF HAMILTON,2237,54,48,0,48,0
2020-04-01,CITY OF OTTAWA,2251,136,55,0,55,0
2020-04-01,DURHAM REGION,2230,94,44,0,44,0
2020-04-01,EASTERN ONTARIO,2258,10,8,0,8,0
2020-04-01,GREY BRUCE,2233,5,7,0,7,0
2020-04-01,HALDIMAND-NORFOLK,2234,22,2,0,2,0
2020-04-01,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,43,17,0,17,0
2020-04-01,HALTON REGION,2236,35,29,0,29,0
2020-04-01,HASTINGS & PRINCE EDWARD COUNTIES,2238,5,4,0,4,0
2020-04-01,HURON PERTH,5183,8,2,0,2,0
2020-04-01,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,39,5,0,5,0
2020-04-01,LAMBTON COUNTY,2242,38,5,0,5,0
2020-04-01,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,23,2,0,2,0
2020-04-01,MIDDLESEX-LONDON,2244,44,11,0,11,0
2020-04-01,NIAGARA REGION,2246,28,23,0,23,0
2020-04-01,NORTH BAY PARRY SOUND DISTRICT,2247,1,3,0,3,0
2020-04-01,NORTHWESTERN,2249,1,2,0,2,0
2020-04-01,OXFORD ELGIN-ST.THOMAS,4913,6,3,0,3,0
2020-04-01,PEEL REGION,2253,234,54,0,54,0
2020-04-01,PETERBOROUGH COUNTY-CITY,2255,22,6,0,6,0
2020-04-01,PORCUPINE,2256,10,5,0,5,0
2020-04-01,RENFREW COUNTY AND DISTRICT,2257,3,1,0,1,0
2020-04-01,SIMCOE MUSKOKA DISTRICT,2260,38,16,0,16,0
2020-04-01,SUDBURY AND DISTRICT,2261,6,4,0,4,0
2020-04-01,THUNDER BAY DISTRICT,2262,4,0,0,0,0
2020-04-01,TIMISKAMING,2263,0,2,0,2,0
2020-04-01,TORONTO,3895,430,205,0,205,0
2020-04-01,WATERLOO REGION,2265,67,38,0,38,0
2020-04-01,WELLINGTON-DUFFERIN-GUELPH,2266,35,7,0,7,0
2020-04-01,WINDSOR-ESSEX COUNTY,2268,30,6,0,6,0
2020-04-01,YORK REGION,2270,212,67,0,67,0
2020-04-02,ALGOMA DISTRICT,2226,4,1,0,1,0
2020-04-02,BRANT COUNTY,2227,13,7,0,7,0
2020-04-02,CHATHAM-KENT,2240,6,3,0,3,0
2020-04-02,CITY OF HAMILTON,2237,62,51,1,51,1
2020-04-02,CITY OF OTTAWA,2251,173,75,0,75,0
2020-04-02,DURHAM REGION,2230,102,47,6,47,6
2020-04-02,EASTERN ONTARIO,2258,10,14,0,14,0
2020-04-02,GREY BRUCE,2233,4,9,0,9,0
2020-04-02,HALDIMAND-NORFOLK,2234,25,3,4,3,4
2020-04-02,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,44,18,2,18,2
2020-04-02,HALTON REGION,2236,48,29,2,29,2
2020-04-02,HASTINGS & PRINCE EDWARD COUNTIES,2238,9,3,1,3,1
2020-04-02,HURON PERTH,5183,9,3,1,3,1
2020-04-02,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,38,9,0,9,0
2020-04-02,LAMBTON COUNTY,2242,40,10,4,10,4
2020-04-02,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,27,2,2,2,2
2020-04-02,MIDDLESEX-LONDON,2244,60,12,2,12,2
2020-04-02,NIAGARA REGION,2246,40,23,3,23,3
2020-04-02,NORTH BAY PARRY SOUND DISTRICT,2247,1,3,0,3,0
2020-04-02,NORTHWESTERN,2249,2,2,0,2,0
2020-04-02,OXFORD ELGIN-ST.THOMAS,4913,6,3,1,3,1
2020-04-02,PEEL REGION,2253,274,67,0,67,0
2020-04-02,PETERBOROUGH COUNTY-CITY,2255,25,12,0,12,0
2020-04-02,PORCUPINE,2256,12,6,0,6,0
2020-04-02,RENFREW COUNTY AND DISTRICT,2257,4,2,1,2,1
2020-04-02,SIMCOE MUSKOKA DISTRICT,2260,36,21,4,21,4
2020-04-02,SUDBURY AND DISTRICT,2261,7,6,0,6,0
2020-04-02,THUNDER BAY DISTRICT,2262,4,0,0,0,0
2020-04-02,TIMISKAMING,2263,0,2,0,2,0
2020-04-02,TORONTO,3895,424,249,10,249,10
2020-04-02,WATERLOO REGION,2265,64,46,2,46,2
2020-04-02,WELLINGTON-DUFFERIN-GUELPH,2266,38,8,0,8,0
2020-04-02,WINDSOR-ESSEX COUNTY,2268,62,8,1,8,1
2020-04-02,YORK REGION,2270,236,77,6,77,6
2020-04-03,ALGOMA DISTRICT,2226,5,1,0,1,0
2020-04-03,BRANT COUNTY,2227,18,16,1,16,1
2020-04-03,CHATHAM-KENT,2240,5,4,0,4,0
2020-04-03,CITY OF HAMILTON,2237,61,61,2,61,2
2020-04-03,CITY OF OTTAWA,2251,186,94,1,94,1
2020-04-03,DURHAM REGION,2230,111,56,9,56,9
2020-04-03,EASTERN ONTARIO,2258,13,14,0,14,0
2020-04-03,GREY BRUCE,2233,6,9,0,9,0
2020-04-03,HALDIMAND-NORFOLK,2234,38,4,3,4,3
2020-04-03,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,42,23,2,23,2
